case_id,case_period,evidence_period,trend_name,brand,actual_action,reported_result,source_url,caution
M01,2026-01,2026 직접,quality_value,CU,제과제빵 명장 협업·합리적 가격·전문점 수준 품질을 결합한 차별화 베이커리,"2026년 1월 차별화 빵 매출 전년 동기 대비 30.5% 증가; 협업시리즈 10만개, 1,500원 올드제과 빵 35만개",https://www.bgfretail.com/press/view/?id=1817,CU 자사 집계이며 전체 시장 성과는 아님
M02,2026-01,2026 직접,media_to_product,CU,요리 경연프로그램 화제 메뉴를 셰프 협업 HMR로 빠르게 상품화,"선행 화제상품 밤 티라미수 예약판매 완판, 누적 250만개 판매",https://www.bgfretail.com/press/view/?id=1798,기존 히트상품 성과와 신제품 성과를 구분해야 함
M03,2026-02,2026 직접,seasonal_experience,애슐리퀸즈,매년 기다리는 대표 시즌 콘텐츠인 딸기축제를 시작하고 시즌별 메뉴·콘텐츠를 교체,2026년 딸기축제 시작 15일 만에 누적 방문객 약 120만 명,https://www.eland.co.kr/news/viewNews?cate=P&cateIdx=915,대형 체인 성과를 소규모 점포에 그대로 적용하지 말 것
M04,2026-02,2026 직접,hyperlocal_testbed,애슐리퀸즈,성수 상권에서 팝업 검증 후 시즌메뉴 선출시·평일 저녁/주말 주류 구성의 테스트베드 매장 운영,"선행 팝업을 확장한 2026년 신규매장을 열고, 신메뉴·서비스 테스트베드로 운영",https://www.eland.co.kr/news/viewNews?cate=P&cateIdx=911,실행 사례이며 신규매장의 장기 수익성 수치는 미공개
M05,2026-01~05,2026 직접,seasonal_calendar,애슐리퀸즈,"1월 체리, 2월 딸기, 3월 토마토, 4월 루비레드키위, 5월 썬골드키위로 월별 제철 주제 교체",공식 자료에서 월별 시즌을 방문 이유로 설계; 개별 월 매출은 미공개,https://www.eland.co.kr/mgzn/viewMgzn?categoryIdx=2&mgznIdx=1537,성과수치가 아니라 실행메커니즘 근거임
M06,2025-11,2026 선행,quick_commerce,CU,"쿠팡이츠 장보기에 배달·픽업 연결, 첫 구매 구간별 할인","2025년 1~11월 배달 매출 49.8%, 픽업 매출 48.5% 증가",https://www.bgfretail.com/press/view/?id=1752,배달 매출 증가와 매장 이익 증가는 다름; 수수료를 반드시 반영
M07,2024-05,선행 참고,subscription,CU,식단관리·실속한끼·간편식사·음료·커피 품목별 구독할인,"구독 이용건수가 2022년 119%, 2023년 143% 증가; 2개 이상 구독자 31%",https://www.bgfretail.com/press/view/?id=1075,2026 직접 사례가 아닌 메커니즘 참고
M08,2023-02,선행 참고,store_level_crm,CU,점주가 스탬프·마감세일·타깃쿠폰·상품요청을 직접 운영하는 스토어플러스,포켓CU 리빌딩 후 활성회원 250만 명에서 350만 명으로 증가,https://www.bgfretail.com/press/view/?id=442,플랫폼 회원 증가를 개별 캠페인 인과효과로 단정할 수 없음
M09,2024 실적/2025 보고,선행 참고,voice_of_customer,파리바게뜨,SNS 부정 피드백이 3회 이상 누적된 품목의 레시피·주입량·진열·취식가이드 개선,빵·케이크·샌드위치 11개 품목 개선 완료,https://www.spc.co.kr/img/front/sub/esg/esg_management/report/2025%20SPC%EA%B7%B8%EB%A3%B9%20%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C.pdf,개선 완료 건수이며 매출 증가 효과는 미공개
M10,2025-10,2026 선행,health_specificity,CU,파로·통밀·현미·저당소스 등 구체 원료로 구성한 건강 간편식 라인업,해당 연도 건강 간편식 시리즈 80만개 판매 후 하반기 추가 출시,https://www.bgfretail.com/press/view/?id=1721,건강 메시지는 영양정보·표시 근거와 함께 사용
