BC_TPBUZ_NO,BC_TPBUZ_NM,external_source,external_industry,external_subtype,mapping_rule,mapping_confidence,reason,coverage,known_false_positive,known_false_negative,recommended_use
8005,중국음식,LOCALDATA 일반음식점,일반음식점,중국식,업태구분명 정확 일치,HIGH,중식 음식점 범위가 비교적 직접 대응,전국 인허가,BC 가맹점이 아닌 행정 인허가,일부 중식 복합업태,주 분석
8301,제과점,LOCALDATA 제과점영업,제과점영업,제과점영업,서비스·업태 직접 일치,HIGH,독립 제과점영업 인허가 모집단,전국 인허가,휴게음식점 과자점 제외,BC 가맹점 모집단 차이,주 분석
4004,대형할인점,LOCALDATA 대규모·준대규모점포,대규모점포,대형마트,업태구분명=대형마트,HIGH,백화점·쇼핑센터 등을 제외한 보수적 연결,전국 유통산업발전법 등록,BC 내부 대형할인점 범위 미공개,등록대상 미만 할인점,주 분석
8001,일반한식,LOCALDATA 일반음식점,일반음식점,한식,업태구분명=한식,MEDIUM,방향은 직접적이나 BC 세부 분류와 범위가 다름,전국 인허가,한식 내 갈비·한정식 혼입 가능,한식 복합업태,제한 분석
8004,일식회집,LOCALDATA 일반음식점,일반음식점,일식|횟집,두 업태 합산,MEDIUM,BC 명칭의 일식·회집을 근사,전국 인허가,두 업태의 범위가 BC와 불일치 가능,기타 업태로 신고된 일식,제한 분석
8006,서양음식,LOCALDATA 일반음식점,일반음식점,경양식|패밀리레스트랑,보수적 업태 합산,MEDIUM,서양식 직접 코드는 없고 경양식 중심 근사,전국 인허가,경양식 외 업태 혼입,기타·외국음식 신고 서양식,제한 분석
8021,스넥,LOCALDATA 일반음식점,일반음식점,분식|김밥(도시락),간식·분식 업태 합산,MEDIUM,BC 스넥의 공식 정의가 없어 분식 중심 근사,전국 인허가,식사형 분식 포함,휴게음식점 일반조리판매 등 누락,제한 분석
4010,편의점,LOCALDATA 휴게음식점,휴게음식점,편의점,업태구분명=편의점,MEDIUM,명칭 특이도는 높지만 휴게음식 인허가를 가진 편의점만 포함,전국 인허가 하위집단,편의점 외 업소 가능성,조리·휴게 인허가 없는 편의점,제한 분석
4010,편의점,LOCALDATA 안전상비의약품판매업소,안전상비의약품판매업소,편의점 브랜드명,전체를 편의점 proxy로 사용,MEDIUM,사업장명 다수가 편의점이나 의약품 판매등록 편의점만 포착,전국 등록 하위집단,비편의 판매소,의약품 미판매 편의점,민감도·검증
4020,슈퍼마켓,LOCALDATA 대규모·준대규모점포,준대규모점포,점포구분명=준대규모점포,준대규모점포만 연결,MEDIUM,기업형 슈퍼마켓에 가까운 부분집합,전국 등록 하위집단,슈퍼 외 준대규모 소매,독립·소형 슈퍼,제한 분석
4020,슈퍼마켓,LOCALDATA 식품판매업(기타),식품판매업(기타),기타식품판매업,서비스 전체를 supermarket proxy,LOW,일정 규모 이상 식품판매소이나 BC 슈퍼와 동일 모집단 아님,전국 인허가,대형마트·기타 식품소매 포함,소형 슈퍼,사례·민감도만
8002,갈비전문점,LOCALDATA 일반음식점,일반음식점,식육(숯불구이),업태구분명 근사,LOW,갈비 외 육류구이의 과잉포함이 큼,전국 인허가,고깃집 전반,한식으로 신고된 갈비점,통합패널 제외
8003,한정식,LOCALDATA 일반음식점,일반음식점,별도 업태 없음,직접 식별 불가,NOT_USABLE,한식 안에서 한정식을 분리할 필드가 없음,없음,한식 전체를 잘못 포함,한식 업태 내 한정식,제외
4010,편의점,LOCALDATA 담배소매업,담배소매업,업태 없음,전체 proxy 검토,NOT_USABLE,"편의점 외 전자담배·잡화·마트 등 과잉포함, 폐업일 누락 구조",전국 지정,광범위한 비편의점,담배 미판매 편의점,제외
