case_id,case_period,evidence_period,brand,situation,actual_action,reported_result,source_url,source_type,applicable_industries,kpi,caution
M01,2026-01,2026 직접,CU,가성비 수요는 있지만 저가 경쟁만으로는 차별화가 어려움,제과제빵 명장 협업·합리적 가격·전문점 수준 품질을 결합한 차별화 베이커리,"2026년 1월 차별화 빵 매출 전년 동기 대비 30.5% 증가; 협업시리즈 10만개, 1,500원 올드제과 빵 35만개",https://www.bgfretail.com/press/view/?id=1817,기업 공식 성과수치,편의점|제과점|스넥,차별화 상품 매출|재구매율|할인제거 후 유지율,CU 자사 집계이며 전체 시장 성과는 아님
M02,2026-01,2026 직접,CU,SNS·방송에서 메뉴 관심이 급증했지만 유행 주기가 짧음,요리 경연프로그램 화제 메뉴를 셰프 협업 HMR로 빠르게 상품화,"선행 화제상품 밤 티라미수 예약판매 완판, 누적 250만개 판매",https://www.bgfretail.com/press/view/?id=1798,기업 공식 성과수치,편의점|제과점|스넥|일반한식|중국음식|서양음식,트렌드 포착~출시 일수|예약판매 소진율|출시 4주 재구매,기존 히트상품 성과와 신제품 성과를 구분해야 함
M03,2026-02,2026 직접,애슐리퀸즈,결제빈도가 정체되어 매월 재방문할 이유가 필요,매년 기다리는 대표 시즌 콘텐츠인 딸기축제를 시작하고 시즌별 메뉴·콘텐츠를 교체,2026년 딸기축제 시작 15일 만에 누적 방문객 약 120만 명,https://www.eland.co.kr/news/viewNews?cate=P&cateIdx=915,기업 공식 성과수치,서양음식|한정식|일식회집|갈비전문점|제과점,시즌 기간 방문수|이전 시즌 재방문율|시즌 메뉴 공헌매출,대형 체인 성과를 소규모 점포에 그대로 적용하지 말 것
M04,2026-02,2026 직접,애슐리퀸즈,상권별 선호가 달라 전국 동일메뉴 확장이 위험,성수 상권에서 팝업 검증 후 시즌메뉴 선출시·평일 저녁/주말 주류 구성의 테스트베드 매장 운영,"선행 팝업을 확장한 2026년 신규매장을 열고, 신메뉴·서비스 테스트베드로 운영",https://www.eland.co.kr/news/viewNews?cate=P&cateIdx=911,기업 공식 실행사례,전업종,테스트 점포 재방문|신메뉴 선호|확장후 점포별 성과편차,실행 사례이며 신규매장의 장기 수익성 수치는 미공개
M05,2026-01~05,2026 직접,애슐리퀸즈,일회성 행사보다 지속적인 재방문 이유가 필요,"1월 체리, 2월 딸기, 3월 토마토, 4월 루비레드키위, 5월 썬골드키위로 월별 제철 주제 교체",공식 자료에서 월별 시즌을 방문 이유로 설계; 개별 월 매출은 미공개,https://www.eland.co.kr/mgzn/viewMgzn?categoryIdx=2&mgznIdx=1537,기업 공식 실행사례,일반한식|한정식|일식회집|서양음식|스넥|제과점|슈퍼마켓|대형할인점,월별 재방문율|제철상품 구매율|시즌 종료후 유지율,성과수치가 아니라 실행메커니즘 근거임
M06,2025-11,2026 선행,CU,매장 방문 한계로 고객접점과 구매빈도 확장이 필요,"쿠팡이츠 장보기에 배달·픽업 연결, 첫 구매 구간별 할인","2025년 1~11월 배달 매출 49.8%, 픽업 매출 48.5% 증가",https://www.bgfretail.com/press/view/?id=1752,기업 공식 성과수치,편의점|슈퍼마켓|스넥|일반한식|중국음식|서양음식|일식회집|제과점,신규채널 증분매출|재구매|할인 제거후 유지|주문당 공헌이익,배달 매출 증가와 매장 이익 증가는 다름; 수수료를 반드시 반영
M07,2024-05,선행 참고,CU,가성비·다빈도 성장을 일회성 할인이 아닌 재방문으로 바꿔야 함,식단관리·실속한끼·간편식사·음료·커피 품목별 구독할인,"구독 이용건수가 2022년 119%, 2023년 143% 증가; 2개 이상 구독자 31%",https://www.bgfretail.com/press/view/?id=1075,기업 공식 성과수치,편의점|제과점|스넥|일반한식|중국음식|슈퍼마켓,구독 전환율|월 재방문|할인원가 차감 공헌이익|해지율,2026 직접 사례가 아닌 메커니즘 참고
M08,2023-02,선행 참고,CU,전국 일괄 캠페인보다 개별 점포의 단골·재고 상황에 맞는 CRM이 필요,점주가 스탬프·마감세일·타깃쿠폰·상품요청을 직접 운영하는 스토어플러스,포켓CU 리빌딩 후 활성회원 250만 명에서 350만 명으로 증가,https://www.bgfretail.com/press/view/?id=442,기업 공식 실행·성과수치,전업종,쿠폰 순증분효과|마감폐기율|재방문|단골 전환,플랫폼 회원 증가를 개별 캠페인 인과효과로 단정할 수 없음
M09,2024 실적/2025 보고,선행 참고,파리바게뜨,상품 만족도 문제가 재구매를 막지만 신제품 광고에 집중하고 있음,SNS 부정 피드백이 3회 이상 누적된 품목의 레시피·주입량·진열·취식가이드 개선,빵·케이크·샌드위치 11개 품목 개선 완료,https://www.spc.co.kr/img/front/sub/esg/esg_management/report/2025%20SPC%EA%B7%B8%EB%A3%B9%20%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C.pdf,기업 공식 보고서,전업종,부정리뷰 재발률|개선품 재구매|반품·폐기|점포별 매뉴얼 준수,개선 완료 건수이며 매출 증가 효과는 미공개
M10,2025-10,2026 선행,CU,건강 지향 고객을 잡으려는 광고는 있지만 구체적 제품 근거가 부족,파로·통밀·현미·저당소스 등 구체 원료로 구성한 건강 간편식 라인업,해당 연도 건강 간편식 시리즈 80만개 판매 후 하반기 추가 출시,https://www.bgfretail.com/press/view/?id=1721,기업 공식 성과수치,편의점|슈퍼마켓|스넥|일반한식|한정식|제과점,건강상품 재구매|신규고객 비중|일반상품 대비 공헌이익,건강 메시지는 영양정보·표시 근거와 함께 사용
