BC업종,외부업종대분류,외부업종중분류,외부업종소분류,외부코드,매핑근거,confidence,비고
대형할인점,소매업,종합소매,대형마트,API키 발급 후 확정,명칭과 영업형태 직접 대응,HIGH,SEMAS 월별 과거 스냅샷 미확보로 이번 추세분석 제외
편의점,소매업,종합소매,편의점,API키 발급 후 확정,명칭 직접 대응,HIGH,이번 추세분석은 국세청 편의점 가동사업자 수 사용
슈퍼마켓,소매업,종합소매,슈퍼마켓,API키 발급 후 확정,명칭 직접 대응,HIGH,이번 추세분석은 국세청 슈퍼마켓 가동사업자 수 사용
일반한식,음식점업,한식,한식 일반 음식점,API키 발급 후 확정,일반 한식 범위 직접 대응 가능,HIGH,이번 추세분석은 LOCALDATA 한식통합 사용
갈비전문점,음식점업,한식,육류 요리 전문점,API키 발급 후 확정,갈비를 포함하나 다른 육류요리도 포함,MEDIUM,BC 갈비전문점과 완전 일치하지 않음
한정식,음식점업,한식,한식 일반 음식점,API키 발급 후 확정,한정식만 분리 가능한 소분류가 확인되지 않음,LOW,일반한식과 중복 가능
일식회집,음식점업,일식,일식 음식점,API키 발급 후 확정,일식과 회집 범위가 유사하나 완전 일치하지 않음,MEDIUM,이번 추세분석은 LOCALDATA 일식·회집 키워드 사용
중국음식,음식점업,중식,중식 음식점,API키 발급 후 확정,명칭과 범위 직접 대응,HIGH,이번 추세분석은 LOCALDATA 중국식·중식 사용
서양음식,음식점업,외국식,서양식 음식점,API키 발급 후 확정,서양식 명칭 직접 대응,HIGH,이번 추세분석은 LOCALDATA 경양식·서양식 사용
스넥,음식점업,간이음식,김밥·분식·간이음식,API키 발급 후 확정,BC 스넥의 공식 범위가 불명확하여 복수 소분류 필요,MEDIUM,이번 추세분석은 LOCALDATA 분식 사용
제과점,음식점업,간이음식,제과점,API키 발급 후 확정,명칭 직접 대응,HIGH,이번 추세분석은 LOCALDATA 제과점영업 사용
